Date,Open,High,Low,Close,Adj Close,Volume
2014-12-02,111.269997,114.559998,110.889999,114.019997,76.004135,8548700
2014-12-03,114.739998,114.820000,113.150002,113.709999,75.797516,8049800
2014-12-04,113.080002,113.080002,111.010002,112.279999,74.844261,8100700
2014-12-05,111.790001,112.290001,110.709999,110.870003,73.904388,7663400
2014-12-08,109.889999,109.940002,106.410004,106.800003,71.191391,13809000
2014-12-09,106.169998,108.150002,106.129997,107.010002,71.331360,11053000
2014-12-10,106.220001,106.250000,103.070000,104.860001,69.898209,15073400
2014-12-11,104.970001,107.269997,104.300003,104.910004,69.931526,10293600
2014-12-12,103.760002,104.349998,102.370003,102.379997,68.245071,12013600
2014-12-15,103.129997,103.910004,100.419998,100.860001,67.231857,13144200
2014-12-16,100.500000,104.470001,100.150002,101.699997,67.791786,12722200
2014-12-17,102.180000,106.589996,102.010002,106.019997,70.671425,13354000
2014-12-18,108.010002,109.029999,105.489998,109.029999,72.677864,13533000
2014-12-19,109.529999,112.959999,108.500000,112.930000,75.277550,15723300
2014-12-22,112.360001,112.989998,111.070000,112.029999,74.677597,9433500
2014-12-23,112.760002,114.449997,112.320000,113.949997,75.957466,8092000
2014-12-24,113.660004,114.139999,112.070000,113.470001,75.637512,4536500
2014-12-26,113.930000,114.349998,112.820000,113.250000,75.490860,4380400
2014-12-29,113.440002,114.379997,112.779999,113.320000,75.537521,6043000
2014-12-30,112.930000,113.650002,112.150002,113.110001,75.397545,5659500
2014-12-31,111.650002,113.309998,111.529999,112.180000,74.777618,6411800
2015-01-02,111.629997,113.000000,110.849998,112.580002,75.044243,5898800
2015-01-05,110.959999,111.199997,107.440002,108.080002,72.044617,11758100
2015-01-06,107.870003,109.019997,106.480003,108.029999,72.011284,11591600
2015-01-07,109.250000,109.730003,107.510002,107.940002,71.951294,10353800
2015-01-08,109.190002,110.440002,108.599998,110.410004,73.597763,8650800
2015-01-09,110.139999,110.220001,107.669998,108.209999,72.131271,9584500
2015-01-12,107.470001,107.470001,105.559998,105.879997,70.578117,8912300
2015-01-13,106.919998,107.660004,103.190002,104.199997,69.458244,13277700
2015-01-14,103.199997,104.410004,101.830002,103.900002,69.258255,14116900
2015-01-15,104.410004,104.940002,102.529999,102.669998,68.438377,9664600
2015-01-16,102.470001,105.139999,102.470001,105.120003,70.071526,12604600
2015-01-20,104.559998,106.580002,103.809998,106.470001,70.971397,10406800
2015-01-21,106.790001,108.269997,106.349998,108.160004,72.097931,8271000
2015-01-22,108.760002,109.120003,106.989998,108.919998,72.604561,7471100
2015-01-23,108.220001,108.750000,106.730003,106.849998,71.224709,7984400
2015-01-26,107.220001,109.349998,106.320000,108.879997,72.577896,7670500
2015-01-27,108.110001,108.809998,107.629997,108.260002,72.164597,6388700
2015-01-28,108.160004,108.169998,103.419998,103.709999,69.131622,10526500
